Start,End
17669,17681
17689,17689
17701,17701
18153,18164
18177,18184
18186,18186
18188,18188
18413,18435
18442,18470
18488,18493
23977,23981
24426,24548
24557,24580
24583,24596
26395,26395
26398,26398
26401,26402
26405,26411
26449,26449
26486,26486
26494,26494
26503,26503
27162,27163
27167,27167
27395,27399
27414,27416
27450,27450
27469,27509
27547,27576
27604,27614
27779,27779
27781,27820
27842,27843
28081,28162
28178,28189
28361,28361
29016,29020
29025,29036
29403,29403
30445,30449
30971,30971
30976,30976
31009,31017
31019,31019
31034,31046
31089,31089
31094,31101
31113,31113
31115,31129
31145,31160
31166,31166
31168,31170
31172,31172
31174,31175
31183,31198
31200,31224
31237,31251
31254,31286
31312,31328
31337,31347
31363,31423
31429,31452
31466,31502
31513,31528
31531,31547
31549,31551
31554,31595
31604,31604
31606,31625
31631,31685
31694,31738
32069,32072
32115,32115
32233,32235
32361,32361
34562,34567
34850,34855
34857,34868
34883,34888
34894,34895
34897,34926
35078,35079
35092,35104
35113,35235
35240,35240
35242,35243
35394,35407
35411,35460
35677,35682
36118,36129
36144,36146
36160,36181
36188,36201
36216,36222
36224,36224
36226,36240
36280,36296
36317,36325
36327,36327
36329,36330
36392,36451
36462,36499
36516,36548
36552,36552
36572,36585
36601,36609
36674,36677
36715,36715
36717,36720
36738,36763
36771,36771
36782,36789
36896,36903
36920,36921
36944,36947
36949,36949
37281,37284
37603,37612
37627,37628
37632,37632
37637,37641
38324,38332
38338,38357
38365,38390
38393,38401
38595,38610
38620,38635
38644,38644
38646,38646
38648,38667
38675,38675
38677,38689
38901,38926
38937,39003
39526,39530
40258,40261
40429,40429
40435,40491
41082,41082
41138,41145
41171,41171
41225,41239
41247,41249
41251,41360
41362,41381
41385,41386
41403,41403
41405,41405
41626,41626
41629,41689
41935,41945
41956,42037
42039,42040
42046,42048
42050,42122
42124,42124
42188,42542
45223,45223
45903,45903
45906,45906
46207,46208
46473,46473
46477,46478
46480,46485
46503,46503
46505,46507
46612,46621
46733,46734
46902,46905
46907,46907
46975,46977
47254,47254
47257,47267
47580,47581
47583,47590
48297,48299
48876,48876
48878,48884
48928,48936
48958,48965
48980,48990
49041,49042
49044,49045
49086,49091
49155,49162
49178,49181
49215,49215
49264,49277
49280,49388
49390,49417
49576,49578
50335,50343
50346,50358
50360,50360
50362,50400
50759,50760
50763,50763
54204,54256
54260,54269
54282,54284
55159,55169
55179,55584
56210,56220
56238,56243
56374,56382
56400,56423
56429,56437
56439,56440
56455,56530
56540,56551
56561,56582
56670,56805
56812,56844
56851,56918
56932,56989
56991,56994
56996,57105
57116,57127
57137,57158
61212,61215
63935,63936
64090,64092
65789,65823
65838,65839
65865,65871
65874,65874
65877,65889
67251,67251
67253,67256
88391,88424
88429,88447
88467,88473
88546,88555
88599,88611
88622,88637
88654,88662
88682,88692
88710,88733
88808,88813
88836,88847
88873,88882
88903,88918
88936,88955
88978,89047
89052,89070
89096,89141
89161,89175
89182,89185
89336,89348
89360,89383
89404,89424
89426,89455
89461,89477
89502,89508
89556,89567
89580,89585
